   lon        lat        precip
  -62.6500   -37.5500     0.0210
  -62.5500   -37.5500     0.0210
  -62.4500   -37.5500     0.0208
  -62.3500   -37.5500     0.0202
  -62.2500   -37.5500     0.1153
  -62.1500   -37.5500     0.3007
  -62.0500   -37.5500     0.1528
  -61.9500   -37.5500     0.2670
  -61.8500   -37.5500     0.2533
  -61.7500   -37.5500     0.2481
  -61.6500   -37.5500     0.3607
  -61.5500   -37.5500     0.2833
  -61.4500   -37.5500     0.2814
  -61.3500   -37.5500     0.3004
  -61.2500   -37.5500     0.5383
  -61.1500   -37.5500     0.6815
  -61.0500   -37.5500     1.6110
  -60.9500   -37.5500     2.2859
  -60.8500   -37.5500     2.7984
  -60.7500   -37.5500     2.9004
  -60.6500   -37.5500     3.3789
  -60.5500   -37.5500     3.4745
  -60.4500   -37.5500     3.0836
  -60.3500   -37.5500     2.9798
  -60.2500   -37.5500     2.5709
  -60.1500   -37.5500     1.8972
  -60.0500   -37.5500     1.7048
  -59.9500   -37.5500     0.9671
  -59.8500   -37.5500     0.9600
  -59.7500   -37.5500     0.9572
  -59.6500   -37.5500     0.6241
  -59.5500   -37.5500     0.6223
  -59.4500   -37.5500     0.5381
  -59.3500   -37.5500     0.4500
  -59.2500   -37.5500     0.3534
  -59.1500   -37.5500     0.3620
  -59.0500   -37.5500     0.4290
  -58.9500   -37.5500     0.3327
  -58.8500   -37.5500     0.3444
  -58.7500   -37.5500     0.3206
  -58.6500   -37.5500     0.3141
  -58.5500   -37.5500     0.2912
  -58.4500   -37.5500     0.2606
  -58.3500   -37.5500     0.3514
  -58.2500   -37.5500     0.3613
  -58.1500   -37.5500     0.3168
  -58.0500   -37.5500     0.4410
  -57.9500   -37.5500     0.4797
  -57.8500   -37.5500     0.3485
  -57.7500   -37.5500     0.4324
  -57.6500   -37.5500     0.5016
  -57.5500   -37.5500     0.4749
  -57.4500   -37.5500     0.3068
  -57.3500   -37.5500     0.3517
  -57.2500   -37.5500     0.2578
  -57.1500   -37.5500     0.1101
  -57.0500   -37.5500     0.1574
  -56.9500   -37.5500     0.1500
  -56.8500   -37.5500     0.1250
  -56.7500   -37.5500     0.0750
  -56.6500   -37.5500     0.0750
  -56.5500   -37.5500     0.0000
  -56.4500   -37.5500     0.0000
  -56.3500   -37.5500     0.0000
  -56.2500   -37.5500     0.0000
  -56.1500   -37.5500     0.0000
  -56.0500   -37.5500     0.0500
  -55.9500   -37.5500     0.0500
  -68.0500   -37.4500     0.0000
  -67.9500   -37.4500     0.0000
  -67.8500   -37.4500     0.0000
  -67.7500   -37.4500     0.0000
  -67.6500   -37.4500     0.0000
  -67.5500   -37.4500     0.0000
  -67.4500   -37.4500     0.0000
  -67.3500   -37.4500     0.0000
  -67.2500   -37.4500     0.0000
  -67.1500   -37.4500     0.0000
  -67.0500   -37.4500     0.0000
  -66.9500   -37.4500     0.0000
  -66.8500   -37.4500     0.0000
  -66.7500   -37.4500     0.0000
